IND,LINHA_CODI,CODIGO,SENTIDO,NOME,DISTANCIA,DATA_CRIA,DECADA,PRI_VIAG,ULT_VIAG,COD_AREA,TP_LINHA,EMPRESA1,EMPRESA2,CONSORCIO,SUBSISTEMA,FROTA,MED_UTIL,MED_SAB,MED_DOM,MAX_581,MAX_582,MAX_16191,MAX_16192,TOT_PART,TP_FROT1,QTD_FROT1,TP_FROT2,QTD_FROT2,TP_FROT3,QTD_FROT3,TP_FROT4,QTD_FROT4,CLASSE,PASS_DIN,PASS_BCOM,PASS_BMENS,PASS_BEST,PASS_BESM,PASS_BVT,PASS_BVTME,PASS_INMC,PASS_INMCM,PASS_PAGA,PASS_INBUS,PASS_GRAT,TOTAL_PASS,END_GAR,TRECH_LOG,MS_REF
0,1015-10_1,1015-10,1,CHÁCARA MARIA TRINDADE - TERMINAL JD. BRITANIA,11957.97,2014,2010,05:00,22:20,AREA 1,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,2,520,284,154,3,0,3,0,35,MINIÔNIBUS,2,,0,,0,,0,DIURNA  (D),1301,3786,57,174,591,2735,28,5,0,8677,4770,1906,15353,"Rua Andresa, 101",43,Setembro
1,1024-10_1,1024-10,1,JD. CAROMBE - CONEXÃO PETRÔNIO PORTELA,7179.93,2015,2010,03:40,23:30,AREA 1,PERMISSAO,FENIX,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,23,0,0,0,20,13,11,20,235,MINIÔNIBUS,23,,0,,0,,0,DIURNA  (D),1358,7410,4562,5580,7780,6335,764,1445,294,171466,1159,5214,339552,"Rua Andresa, 101",72,Setembro
2,172Y-10_2,172Y-10,2,VILA CONSTANÇA - METRÔ BELÉM,11899.69,2001,2000,05:10,00:45,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,16,11164,8349,4194,8,8,8,8,130,MINIÔNIBUS,16,,0,,0,,0,DIURNA  (D),1799,4350,3196,7993,4267,3815,225,1551,232,131077,5794,4586,234880,"Rua Antonelo da Messina, 1.726",147,Setembro
3,5127-10_2,5127-10,2,VILA GUACURI - ESTAÇÃO JURUBATUBA,12080.81,2003,2000,04:40,00:00,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,12,898,797,373,6,6,6,6,93,MIDIÔNIBUS,12,,0,,0,,0,DIURNA  (D),7571,1839,1555,2520,2131,2167,101,1128,128,65354,2815,1605,109570,"Estrada do Alvarenga, 999",138,Setembro
4,5128-10_1,5128-10,1,JD. APURÁ - AEROPORTO,22825.77,2003,2000,04:00,23:30,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,26,13727,10134,7232,9,9,9,9,160,MINIÔNIBUS,23,MIDIÔNIBUS,3,,0,,0,DIURNA  (D),2652,6413,4664,7695,5871,6164,614,2585,371,197368,8476,4745,329585,"Estrada do Alvarenga, 999",226,Setembro
5,5128-10_2,5128-10,2,JD. APURÁ - AEROPORTO,22524.99,2003,2000,05:05,00:40,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,26,13727,10134,7232,9,9,9,9,160,MINIÔNIBUS,23,MIDIÔNIBUS,3,,0,,0,DIURNA  (D),2652,6413,4664,7695,5871,6164,614,2585,371,197368,8476,4745,329585,"Estrada do Alvarenga, 999",227,Setembro
6,5129-10_1,5129-10,1,JD. MIRIAM - TERM. GUARAPIRANGA,17866.07,2003,2000,04:10,23:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,34,14079,9020,5974,8,7,7,7,104,B-SICO,13,PADRON,21,,0,,0,DIURNA  (D),2337,6431,5964,7823,6694,5940,983,7203,276,176037,1084,3397,318421,"Estrada do Alvarenga, 4000 A",164,Setembro
7,5129-10_2,5129-10,2,JD. MIRIAM - TERM. GUARAPIRANGA,19777.74,2003,2000,04:55,00:15,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,34,14079,9020,5974,7,8,7,7,105,B-SICO,13,PADRON,21,,0,,0,DIURNA  (D),2337,6431,5964,7823,6694,5940,983,7203,276,176037,1084,3397,318421,"Estrada do Alvarenga, 4000 A",163,Setembro
8,5129-41_1,5129-41,1,JD. MIRIAM - SANTO AMARO,11054.21,2010,2010,04:20,23:40,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9268,6450,2906,9,8,8,7,110,B-SICO,13,PADRON,2,,0,,0,DIURNA  (D),1697,4731,2908,3692,2452,3646,392,1850,104,112151,6025,2759,200001,"Estrada do Alvarenga, 4000 A",94,Setembro
9,5129-41_2,5129-41,2,JD. MIRIAM - SANTO AMARO,11335.12,2010,2010,05:05,00:20,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9268,6450,2906,8,9,7,8,110,B-SICO,13,PADRON,2,,0,,0,DIURNA  (D),1697,4731,2908,3692,2452,3646,392,1850,104,112151,6025,2759,200001,"Estrada do Alvarenga, 4000 A",97,Setembro
10,5131-10_1,5131-10,1,CIDADE ADEMAR - PQ. DOM PEDRO II,19602.26,1987,1980,04:45,23:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,13,7794,2196,12,6,4,3,5,58,B-SICO,6,PADRON,7,,0,,0,DIURNA  (D),1014,3157,2556,4727,2500,2708,282,5321,124,84315,3624,1535,135919,"Estrada do Alvarenga, 4000 A",221,Setembro
11,5131-10_2,5131-10,2,CIDADE ADEMAR - PQ. DOM PEDRO II,18605.74,1987,1980,05:50,00:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,13,7794,2196,12,4,6,5,3,60,B-SICO,6,PADRON,7,,0,,0,DIURNA  (D),1014,3157,2556,4727,2500,2708,282,5321,124,84315,3624,1535,135919,"Estrada do Alvarenga, 4000 A",200,Setembro
12,513L-10_1,513L-10,1,TERM. SACOMA - PQ. BELEM,13288.82,2007,2000,04:00,00:05,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,10,6150,2765,1353,5,4,4,4,70,PADRON,10,,0,,0,,0,DIURNA  (D),1077,2976,2266,3804,2287,2054,208,1758,82,71486,3316,2286,127510,"Av. do Cursino, 5.797",128,Setembro
13,1730-10_1,1730-10,1,CENTER NORTE - SANTANA,9048.66,2002,2000,06:30,23:30,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,7,3697,3112,1747,6,0,9,0,114,MINIÔNIBUS,7,,0,,0,,0,DIURNA  (D),5040,1677,2036,3994,2981,2608,128,3512,132,60676,3332,1294,106944,"Rua Antonelo da Messina, 1.726",92,Setembro
14,513L-10_2,513L-10,2,TERM. SACOMA - PQ. BELEM,13037.81,2007,2000,04:50,01:00,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,10,6150,2765,1353,4,5,4,4,70,PADRON,10,,0,,0,,0,DIURNA  (D),1077,2976,2266,3804,2287,2054,208,1758,82,71486,3316,2286,127510,"Av. do Cursino, 5.797",124,Setembro
15,5141-10_1,5141-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. CORREIO,20095.83,2006,2000,04:00,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,12,6049,3188,1945,7,5,3,5,64,B-SICO,0,PADRON,12,,0,,0,DIURNA  (D),1341,3123,2164,2935,2591,2058,438,640,172,74183,3429,2273,131208,"Rua Iososuke Okaue, 488",230,Setembro
16,5141-10_2,5141-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. CORREIO,21529.6,2006,2000,04:50,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,12,6049,3188,1945,5,7,5,3,63,B-SICO,0,PADRON,12,,0,,0,DIURNA  (D),1341,3123,2164,2935,2591,2058,438,640,172,74183,3429,2273,131208,"Rua Iososuke Okaue, 488",271,Setembro
17,5142-10_1,5142-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,24200.08,2006,2000,04:00,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,18,14725,9892,4900,8,7,6,6,100,PADRON,9,ARTICULADO,9,,0,,0,DIURNA  (D),2854,7076,5241,7381,4979,6319,530,1517,412,196229,9562,5137,343233,"Rua Iososuke Okaue, 488",277,Setembro
18,5142-10_2,5142-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,23983.36,2006,2000,05:05,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,18,14725,9892,4900,7,8,6,6,100,PADRON,9,ARTICULADO,9,,0,,0,DIURNA  (D),2854,7076,5241,7381,4979,6319,530,1517,412,196229,9562,5137,343233,"Rua Iososuke Okaue, 488",264,Setembro
19,5143-10_1,5143-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,19096.77,2006,2000,04:30,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,8,5162,2591,28,6,5,4,4,64,PADRON,8,ARTICULADO,0,,0,,0,DIURNA  (D),5054,1776,2183,2654,1766,1930,154,8058,119,57061,4346,1073,111258,"Rua Iososuke Okaue, 488",149,Setembro
20,5143-10_2,5143-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,18289.5,2006,2000,04:40,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,8,5162,2591,28,5,6,4,4,61,PADRON,8,ARTICULADO,0,,0,,0,DIURNA  (D),5054,1776,2183,2654,1766,1930,154,8058,119,57061,4346,1073,111258,"Rua Iososuke Okaue, 488",144,Setembro
21,5143-31_1,5143-31,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D. PEDRO II,20568.91,2012,2010,17:45,17:45,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,0,0,0,0,0,0,1,0,1,PADRON,0,,0,,0,,0,DIURNA  (D),26,92,1,22,5,156,0,0,0,302,105,47,454,"Rua Iososuke Okaue, 488",170,Setembro
22,5144-10_1,5144-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERMINAL PRINC. ISABEL,22560.61,2006,2000,03:50,23:31,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,16,7634,5505,2168,8,7,4,5,70,B-SICO,4,PADRON,12,,0,,0,DIURNA  (D),2805,4337,2022,2744,2552,2317,312,1065,212,103512,4680,2764,177962,"Rua Iososuke Okaue, 488",266,Setembro
23,5144-10_2,5144-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERMINAL PRINC. ISABEL,21675.02,2006,2000,04:50,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,16,7634,5505,2168,7,8,5,4,71,B-SICO,4,PADRON,12,,0,,0,DIURNA  (D),2805,4337,2022,2744,2552,2317,312,1065,212,103512,4680,2764,177962,"Rua Iososuke Okaue, 488",268,Setembro
24,1732-10_1,1732-10,1,VILA SABRINA - METRÔ SANTA CECÍLIA,18070.21,1978,1970,04:35,23:35,AREA 2,CONCESSAO,SAMBAIBA,,SAMBAIBA,SUBSISTEMA ESTRUTURAL,14,8890,4102,2293,7,6,5,6,77,PADRON,14,,0,,0,,0,DIURNA  (D),2047,4821,3834,6647,3344,3927,193,7725,203,129905,4888,3334,212139,"Av. João Simão de Castro, 50",218,Setembro
25,5145-10_1,5145-10,1,TERM. SAPOPEMBA - TEOTONIO VILELA - PCA. ALMEIDA JR.,21313.58,2006,2000,04:05,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,15,5873,3400,2055,5,4,3,3,58,B-SICO,12,PADRON,3,,0,,0,DIURNA  (D),1320,3115,2783,4028,2537,2375,251,4095,100,81910,3526,2418,141356,"Rua Iososuke Okaue, 488",270,Setembro
26,5145-10_2,5145-10,2,TERM. SAPOPEMBA - TEOTONIO VILELA - PCA. ALMEIDA JR.,22911.66,2006,2000,05:00,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,15,5873,3400,2055,4,5,3,3,58,B-SICO,12,PADRON,3,,0,,0,DIURNA  (D),1320,3115,2783,4028,2537,2375,251,4095,100,81910,3526,2418,141356,"Rua Iososuke Okaue, 488",285,Setembro
27,5145-41_1,5145-41,1,CONJ. TEOTONIO VILELA - PCA. ALMEIDA JR.,21408.95,2006,2000,05:00,09:50,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,5,1688,11,0,2,0,0,2,10,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),2607,8033,601,1112,562,6461,71,1290,16,20753,6610,4075,31438,"Rua Iososuke Okaue, 488",267,Setembro
28,5145-41_2,5145-41,2,CONJ. TEOTONIO VILELA - PCA. ALMEIDA JR.,18448.72,2006,2000,16:00,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,5,1688,11,0,0,2,2,0,15,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),2607,8033,601,1112,562,6461,71,1290,16,20753,6610,4075,31438,"Rua Iososuke Okaue, 488",167,Setembro
29,514T-10_1,514T-10,1,TERM. SACOMA - JD. ITAPOLIS,21223.53,2007,2000,04:10,23:40,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,28,17299,10579,6675,8,7,7,8,120,MINIÔNIBUS,0,MIDIÔNIBUS,28,,0,,0,DIURNA  (D),2721,6691,5783,1215,9306,6220,529,1891,541,203555,1295,6278,395880,"Rua Murta do Campo, 405",291,Setembro
30,514T-10_2,514T-10,2,TERM. SACOMA - JD. ITAPOLIS,21385.66,2007,2000,04:50,00:00,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,28,17299,10579,6675,7,8,8,7,120,MINIÔNIBUS,0,MIDIÔNIBUS,28,,0,,0,DIURNA  (D),2721,6691,5783,1215,9306,6220,529,1891,541,203555,1295,6278,395880,"Rua Murta do Campo, 405",297,Setembro
31,514T-21_1,514T-21,1,JD. COLORADO - METRÔ VILA PRUDENTE,9657.11,2011,2010,06:00,08:00,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,5,0,0,0,6,0,0,6,12,MIDIÔNIBUS,5,,0,,0,,0,DIURNA  (D),1564,5870,438,1054,630,6574,29,1037,56,17252,5606,3387,26245,"Rua Murta do Campo, 405",138,Setembro
32,514T-21_2,514T-21,2,JD. COLORADO - METRÔ VILA PRUDENTE,8773.42,2011,2010,17:30,19:45,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,5,0,0,0,0,6,6,0,13,MIDIÔNIBUS,5,,0,,0,,0,DIURNA  (D),1564,5870,438,1054,630,6574,29,1037,56,17252,5606,3387,26245,"Rua Murta do Campo, 405",131,Setembro
33,5154-10_1,5154-10,1,TERM. STO. AMARO - TERM. PRINCESA ISABEL,25406.09,1988,1980,03:50,23:30,AREA 7,CONCESSAO,GATUSA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,20,13855,6495,3973,7,5,4,5,75,PADRON,20,,0,,0,,0,DIURNA  (D),2803,6737,6616,8854,4715,6463,596,1230,421,193554,9748,3557,326609,"Av. Guido Caloi, 1.200",243,Setembro
34,5154-10_2,5154-10,2,TERM. STO. AMARO - TERM. PRINCESA ISABEL,25765.78,1988,1980,04:45,00:32,AREA 7,CONCESSAO,GATUSA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,20,13855,6495,3973,5,7,5,4,75,PADRON,20,,0,,0,,0,DIURNA  (D),2803,6737,6616,8854,4715,6463,596,1230,421,193554,9748,3557,326609,"Av. Guido Caloi, 1.200",256,Setembro
35,1732-10_2,1732-10,2,VILA SABRINA - METRÔ SANTA CECÍLIA,18378.28,1978,1970,05:35,00:25,AREA 2,CONCESSAO,SAMBAIBA,,SAMBAIBA,SUBSISTEMA ESTRUTURAL,14,8890,4102,2293,6,7,6,5,77,PADRON,14,,0,,0,,0,DIURNA  (D),2047,4821,3834,6647,3344,3927,193,7725,203,129905,4888,3334,212139,"Av. João Simão de Castro, 50",211,Setembro
36,5164-10_1,5164-10,1,V. STA. CATARINA - PARQUE DO IBIRAPUERA,26268.0,1978,1970,04:30,23:00,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,26,7188,3272,2067,9,0,7,0,91,B-SICO,26,,0,,0,,0,DIURNA  (D),1426,3290,3139,4596,2995,2649,204,7119,199,91921,4762,3030,169857,"Estrada do Alvarenga, 4000 A",250,Setembro
37,5164-21_1,5164-21,1,CIDADE LEONOR - PQ. DO IBIRAPUERA,26525.56,2006,2000,04:30,23:25,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,7,4007,1761,1123,4,0,4,0,57,B-SICO,7,,0,,0,,0,DIURNA  (D),6593,1505,1609,2167,1841,1306,94,2655,44,43123,2415,1408,81361,"Estrada do Alvarenga, 4000 A",246,Setembro
38,5164-41_1,5164-41,1,VILA GUARANI - CIRCULAR,12748.8,2006,2000,04:30,00:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,4,2328,1462,627,3,0,3,0,54,B-SICO,4,,0,,0,,0,DIURNA  (D),3134,8233,501,964,959,9521,17,3718,40,27087,8991,1218,48263,"Estrada do Alvarenga, 4000 A",142,Setembro
39,516N-10_1,516N-10,1,JD. MIRIAM - PRAÇA DOM GASTÃO,33411.69,1978,1970,04:25,23:25,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,26,19973,9115,3865,14,0,11,0,158,ARTICULADO (23 M),8,PADRON,0,ARTICULADO,18,,0,DIURNA  (D),3971,1058,6124,9156,6698,9497,1447,201,360,264487,1303,4248,437281,"Av. Eng. George Corbisier, 1.100",324,Setembro
40,5175-10_1,5175-10,1,BALNEARIO SAO FCO. - PÇA. DA SÉ,25312.18,1978,1970,04:15,23:30,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9180,65,0,7,6,4,4,72,B-SICO,15,,0,,0,,0,DIURNA  (D),1517,4337,2836,3925,2859,3911,271,3173,105,110836,4982,2169,182353,"Rua Jorge Duprat Figueiredo, 148",222,Setembro
41,5175-10_2,5175-10,2,BALNEARIO SAO FCO. - PÇA. DA SÉ,26388.87,1978,1970,05:20,00:40,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9180,65,0,6,7,4,4,74,B-SICO,15,,0,,0,,0,DIURNA  (D),1517,4337,2836,3925,2859,3911,271,3173,105,110836,4982,2169,182353,"Rua Jorge Duprat Figueiredo, 148",233,Setembro
42,5175-21_1,5175-21,1,BALNEARIO SAO FCO. - PQ. IBIRAPUERA,31980.18,1983,1980,04:30,23:30,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,10,23,4184,3011,5,0,3,0,58,B-SICO,10,,0,,0,,0,DIURNA  (D),3080,6266,527,395,405,7149,42,9,29,17902,8562,3499,29963,"Rua Jorge Duprat Figueiredo, 148",289,Setembro
43,5178-10_1,5178-10,1,JD. MIRIAM - PÇA. JOÃO MENDES,21253.86,1978,1970,04:10,23:35,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,20,13568,7569,5266,11,5,4,6,89,PADRON (15 M),5,PADRON,15,,0,,0,DIURNA  (D),2931,6639,4654,7401,3689,5933,281,4269,193,175533,7291,3203,280481,"Rua Jorge Duprat Figueiredo, 148",195,Setembro
44,5178-10_2,5178-10,2,JD. MIRIAM - PÇA. JOÃO MENDES,22648.0,1978,1970,05:05,00:30,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,20,13568,7569,5266,5,11,6,4,84,PADRON (15 M),5,PADRON,15,,0,,0,DIURNA  (D),2931,6639,4654,7401,3689,5933,281,4269,193,175533,7291,3203,280481,"Rua Jorge Duprat Figueiredo, 148",208,Setembro
45,5178-21_1,5178-21,1,JD. MIRIAM - PARQUE IBIRAPUERA,32896.36,1978,1970,14:30,17:45,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,0,0,0,0,0,0,2,0,8,PADRON,0,,0,,0,,0,DIURNA  (D),1600,4180,214,290,160,3397,11,18,17,9887,3753,1469,15109,"Rua Jorge Duprat Figueiredo, 148",267,Setembro
46,1738-10_1,1738-10,1,VILA CONSTANCIA - METRÔ SANTANA,10874.14,1978,1970,04:20,23:40,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,8,5780,3345,1703,5,5,5,5,80,MINIÔNIBUS,8,,0,,0,,0,DIURNA  (D),7979,2080,1558,3279,1529,1582,86,1150,195,62761,1878,2605,107603,"Rua Antonelo da Messina, 1.726",143,Setembro
47,517J-10_1,517J-10,1,JD. SELMA - BERRINI,17269.74,1998,1990,04:00,23:00,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,20,11298,7012,4315,8,7,6,8,105,B-SICO,20,,0,,0,,0,DIURNA  (D),2201,6027,3977,5841,4141,6643,391,2944,201,166228,7157,2735,265157,"Estrada do Alvarenga, 999",180,Setembro
48,517J-10_2,517J-10,2,JD. SELMA - BERRINI,17467.85,1998,1990,05:00,00:00,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,20,11298,7012,4315,7,8,8,6,105,B-SICO,20,,0,,0,,0,DIURNA  (D),2201,6027,3977,5841,4141,6643,391,2944,201,166228,7157,2735,265157,"Estrada do Alvarenga, 999",173,Setembro
49,5185-10_1,5185-10,1,TERM. GUARAPIRANGA - TERM. PQUE. D. PEDRO II,22038.04,1978,1970,04:30,23:00,AREA 7,CONCESSAO,TRANSKUBA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,15,15398,8903,6442,6,5,4,5,75,PADRON,0,ARTICULADO,15,,0,,0,DIURNA  (D),1883,7714,8171,8117,5560,6564,818,1018,423,194898,1597,3784,392510,"Av. Carlos Lacerda, 3.003",201,Setembro
50,5185-10_2,5185-10,2,TERM. GUARAPIRANGA - TERM. PQUE. D. PEDRO II,21697.63,1978,1970,05:30,00:10,AREA 7,CONCESSAO,TRANSKUBA,,CONS. SETE,SUBSISTEMA ESTRUTURAL,15,15398,8903,6442,5,6,5,4,75,PADRON,0,ARTICULADO,15,,0,,0,DIURNA  (D),1883,7714,8171,8117,5560,6564,818,1018,423,194898,1597,3784,392510,"Av. Carlos Lacerda, 3.003",186,Setembro
51,5194-10_1,5194-10,1,JD. SÃO JORGE ATÉ APURÁ - PQ. IBIRAPUERA,38435.55,1986,1980,04:40,23:20,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,14,4848,107,26,6,0,5,0,82,B-SICO,14,,0,,0,,0,DIURNA  (D),6738,2430,2055,2459,2363,2115,112,39,62,59288,3390,1551,108708,"Rua Jorge Duprat Figueiredo, 148",346,Setembro
52,5194-21_1,5194-21,1,JD. SÃO JORGE ATÉ APURÁ - AEROPORTO,38444.78,2012,2010,04:40,23:20,AREA 6,CONCESSAO,TUPI,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,7,16,2891,1731,4,0,3,0,52,B-SICO,5,PADRON,2,,0,,0,DIURNA  (D),1513,3688,399,300,330,3759,23,3,13,10028,6318,3198,19544,"Rua Jorge Duprat Figueiredo, 148",347,Setembro
53,519M-10_1,519M-10,1,SÃO MATEUS - MUSEU DO IPIRANGA,21764.6,2013,2010,04:00,23:40,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,9,4706,2219,27,5,3,3,3,60,B-SICO,9,,0,,0,,0,DIURNA  (D),7958,1922,1274,1899,1435,1651,82,374,42,48810,2692,1546,91197,"Rua Iososuke Okaue, 488",243,Setembro
54,519M-10_2,519M-10,2,SÃO MATEUS - MUSEU DO IPIRANGA,20631.62,2013,2010,04:50,00:40,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,9,4706,2219,27,3,5,3,3,59,B-SICO,9,,0,,0,,0,DIURNA  (D),7958,1922,1274,1899,1435,1651,82,374,42,48810,2692,1546,91197,"Rua Iososuke Okaue, 488",238,Setembro
55,524L-10_1,524L-10,1,PQ. SAO LUCAS  - TATUAPE,13908.81,2007,2000,04:30,23:25,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,9,5038,3506,2187,5,4,4,4,74,MINIÔNIBUS,8,MIDIÔNIBUS,1,,0,,0,DIURNA  (D),1277,2537,1904,3789,2152,2036,172,6468,121,73128,2835,2044,121926,"Rua Murta do Campo, 405",176,Setembro
56,524L-10_2,524L-10,2,PQ. SAO LUCAS  - TATUAPE,12018.31,2007,2000,05:10,00:00,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,9,5038,3506,2187,4,5,4,4,74,MINIÔNIBUS,8,MIDIÔNIBUS,1,,0,,0,DIURNA  (D),1277,2537,1904,3789,2152,2036,172,6468,121,73128,2835,2044,121926,"Rua Murta do Campo, 405",162,Setembro
57,1738-10_2,1738-10,2,VILA CONSTANCIA - METRÔ SANTANA,9962.04,1978,1970,05:00,00:20,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,8,5780,3345,1703,5,5,5,5,80,MINIÔNIBUS,8,,0,,0,,0,DIURNA  (D),7979,2080,1558,3279,1529,1582,86,1150,195,62761,1878,2605,107603,"Rua Antonelo da Messina, 1.726",129,Setembro
58,524M-10_1,524M-10,1,MASCARENHAS DE MORAIS - SHOP. ARICANDUVA,13355.87,2006,2000,04:00,23:30,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,22,18218,15259,10231,10,10,9,9,171,MIDIÔNIBUS,22,,0,,0,,0,DIURNA  (D),3094,1012,6845,8025,7153,7922,851,98,186,234526,1447,8038,459626,"Rua Murta do Campo, 405",192,Setembro
59,524M-10_2,524M-10,2,MASCARENHAS DE MORAIS - SHOP. ARICANDUVA,12316.36,2006,2000,03:40,00:00,AREA 5,PERMISSAO,COOPERTRANSE,,MOVE-SP e Imperial,SUBSISTEMA LOCAL,22,18218,15259,10231,10,10,9,9,178,MIDIÔNIBUS,22,,0,,0,,0,DIURNA  (D),3094,1012,6845,8025,7153,7922,851,98,186,234526,1447,8038,459626,"Rua Murta do Campo, 405",181,Setembro
