IND,LINHA_CODI,CODIGO,SENTIDO,NOME,DISTANCIA,DATA_CRIA,DECADA,PRI_VIAG,ULT_VIAG,COD_AREA,TP_LINHA,EMPRESA1,EMPRESA2,CONSORCIO,SUBSISTEMA,FROTA,MED_UTIL,MED_SAB,MED_DOM,MAX_581,MAX_582,MAX_16191,MAX_16192,TOT_PART,TP_FROT1,QTD_FROT1,TP_FROT2,QTD_FROT2,TP_FROT3,QTD_FROT3,TP_FROT4,QTD_FROT4,CLASSE,PASS_DIN,PASS_BCOM,PASS_BMENS,PASS_BEST,PASS_BESM,PASS_BVT,PASS_BVTME,PASS_INMC,PASS_INMCM,PASS_PAGA,PASS_INBUS,PASS_GRAT,TOTAL_PASS,END_GAR,TRECH_LOG,MS_REF
571,6820-31_1,6820-31,1,JD. DAS ROSAS - TERM. CAPELINHA,3951.02,2004,2000,04:00,01:15,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,7,7169,3518,1851,11,9,7,7,110,B-SICO,4,PADRON,3,,0,,0,DIURNA  (D),4866,3579,2188,2667,1976,3729,314,9133,290,94518,5962,1482,168961,"Av. Carlos Lacerda, 2.551",41,Setembro
572,6820-31_2,6820-31,2,JD. DAS ROSAS - TERM. CAPELINHA,3950.35,2004,2000,04:16,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,7,7169,3518,1851,9,11,7,7,110,B-SICO,4,PADRON,3,,0,,0,DIURNA  (D),4866,3579,2188,2667,1976,3729,314,9133,290,94518,5962,1482,168961,"Av. Carlos Lacerda, 2.551",52,Setembro
573,6821-10_1,6821-10,1,JD. JANGADEIRO - TERM. CAPELINHA,5826.59,1998,1990,04:00,00:55,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,5242,3334,2132,8,7,5,5,102,B-SICO,4,PADRON,1,,0,,0,DIURNA  (D),4561,2759,1916,2231,1998,2702,313,7001,387,73027,4844,1507,136547,"Av. Carlos Lacerda, 2.551",60,Setembro
574,6821-10_2,6821-10,2,JD. JANGADEIRO - TERM. CAPELINHA,5375.5,1998,1990,04:21,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,5242,3334,2132,7,8,5,5,101,B-SICO,4,PADRON,1,,0,,0,DIURNA  (D),4561,2759,1916,2231,1998,2702,313,7001,387,73027,4844,1507,136547,"Av. Carlos Lacerda, 2.551",63,Setembro
575,6822-10_1,6822-10,1,JD. MACEDONIA - TERM. CAPELINHA,7362.49,1998,1990,04:00,00:55,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,9,7600,4102,2338,10,8,8,7,109,B-SICO,3,PADRON,6,,0,,0,DIURNA  (D),6746,3976,2571,3150,1965,3448,352,7718,193,96942,6919,1625,182390,"Av. Carlos Lacerda, 2.551",69,Setembro
576,6822-10_2,6822-10,2,JD. MACEDONIA - TERM. CAPELINHA,7107.38,1998,1990,04:20,01:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,9,7600,4102,2338,8,10,7,8,112,B-SICO,3,PADRON,6,,0,,0,DIURNA  (D),6746,3976,2571,3150,1965,3448,352,7718,193,96942,6919,1625,182390,"Av. Carlos Lacerda, 2.551",77,Setembro
577,6823-10_1,6823-10,1,JD. GUARUJA - TERM. CAPELINHA,8388.84,1999,1990,04:20,00:00,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,4,3753,1943,1119,4,4,3,3,60,B-SICO,2,PADRON,2,,0,,0,DIURNA  (D),3156,1823,1151,2117,1256,1766,182,2121,108,45987,2808,8372,82439,"Av. Carlos Lacerda, 2.551",77,Setembro
578,6823-10_2,6823-10,2,JD. GUARUJA - TERM. CAPELINHA,7638.53,1999,1990,04:45,00:30,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,4,3753,1943,1119,4,4,3,3,60,B-SICO,2,PADRON,2,,0,,0,DIURNA  (D),3156,1823,1151,2117,1256,1766,182,2121,108,45987,2808,8372,82439,"Av. Carlos Lacerda, 2.551",75,Setembro
579,1775-10_1,1775-10,1,VILA ALBERTINA - CENTER NORTE,14995.7,1993,1990,05:30,23:00,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,5,2291,1805,958,4,3,2,3,40,MINIÔNIBUS,5,,0,,0,,0,DIURNA  (D),6727,1182,996,1508,1496,8263,85,1605,28,32534,1295,1243,57932,"Rua Antonelo da Messina, 1.726",168,Setembro
580,6824-10_1,6824-10,1,PQ. FERNANDA - TERM. CAPELINHA,7003.58,1998,1990,04:00,00:55,AREA 7,CONCESSAO,CAMPO BELO,,CONS. SETE,SUBSISTEMA ESTRUTURAL,5,5032,3094,1805,5,4,4,4,76,B-SICO,3,PADRON,2,,0,,0,DIURNA  (D),4297,2668,2085,2940,1432,2753,353,5448,161,70939,4188,1439,127224,"Av. Carlos Lacerda, 2.551",84,Setembro
